"x1","x2","y"
0.641745518893003,0.157880100421607,"-1"
0.736588314641267,0.967733667232096,"1"
0.13466659723781,0.484587929444388,"1"
0.560332746244967,0.892718593822792,"1"
0.0824375580996275,0.313683822052553,"1"
0.388108282815665,0.304097996791825,"-1"
0.611778643447906,0.421378421830013,"-1"
0.887754905503243,0.159469854552299,"-1"
0.982817197917029,0.123300578678027,"-1"
0.0429887960199267,0.136295825242996,"1"
0.157905208179727,0.0498921528924257,"-1"
0.645631878403947,0.982659413712099,"1"
0.0899805163498968,0.0186874116770923,"-1"
0.0856120649259537,0.339485083706677,"1"
0.000238896580412984,0.731707599712536,"1"
0.73985527921468,0.392178456997499,"-1"
0.836801559431478,0.979334303410724,"1"
0.00138084357604384,0.296846406767145,"1"
0.573475898941979,0.141908895457163,"-1"
0.719657292356715,0.56482222257182,"-1"
0.821403923910111,0.533828780753538,"-1"
0.324085952481255,0.57633650302887,"1"
0.775825042743236,0.475711012724787,"-1"
0.451886494411156,0.615871025947854,"1"
0.794396977638826,0.0554021787829697,"-1"
0.862629777053371,0.470092375297099,"-1"
0.784109382657334,0.524790602037683,"-1"
0.128872161731124,0.656810875283554,"1"
0.0531294834800065,0.490750394994393,"1"
0.731315477285534,0.075599099509418,"-1"
